time,seconds_elapsed,z,y,x
1695804854398387200,18.80138720703125,-9.261036225378513,-2.999147621451318,-1.1868909862309693
1695804854408386300,18.81138623046875,-9.254946676331757,-3.0141882464557885,-1.1962505699243395
1695804854418386200,18.82138623046875,-9.25333807209134,-3.016521657839417,-1.2027948039360343
1695804854428385000,18.831385009765626,-9.254652661821245,-3.006324088951945,-1.2181154149256646
1695804854438385000,18.841385009765624,-9.25703283495605,-2.986586830563843,-1.2482079169809817
1695804854448384000,18.851384033203125,-9.258568373960257,-2.9636180429086085,-1.290836952265352
1695804854458383000,18.861383056640626,-9.25796456284821,-2.94341755092293,-1.3404343652576207
1695804854468383000,18.871383056640624,-9.254896407449245,-2.928714195048809,-1.3928060652688146
1695804854478382000,18.881382080078126,-9.249941415390373,-2.918618332970142,-1.4459033030755817
1695804854488382200,18.89138232421875,-9.244057618048787,-2.9104952322691675,-1.498932005690783
1695804854498381000,18.901381103515625,-9.237869284802676,-2.901675673736632,-1.553199456320703
1695804854508380200,18.911380126953127,-9.231466432023048,-2.8913252523750064,-1.6095480971388518
1695804854518380300,18.92138037109375,-9.224279150867462,-2.8808453594148156,-1.668469511054456
1695804854528379100,18.931379150390626,-9.215509568956493,-2.8731892917037007,-1.7290302166096865
1695804854538379300,18.941379150390624,-9.20533070476949,-2.8696333527877926,-1.7881494911849498
1695804854548378000,18.951378173828125,-9.194801711970568,-2.87063551556766,-1.8399607808344065
1695804854558377000,18.961376953125,-9.184371503371,-2.877500725162029,-1.8808762901991605
1695804854568377000,18.971377197265625,-9.17381328447759,-2.8930303027272224,-1.9083777528479695
1695804854578376000,18.9813759765625,-9.162258455762267,-2.920824610842764,-1.9215055299684405
1695804854588376000,18.9913759765625,-9.147764066463708,-2.965079347632825,-1.9227844638630747
1695804854598375200,19.001375244140625,-9.128581811609864,-3.0275401877209545,-1.9166046061843633
1695804854608374000,19.0113740234375,-9.103546154552697,-3.105788087266683,-1.9104744328662753
1695804854618374100,19.0213740234375,-9.071658147382736,-3.1952722510978577,-1.9145865443602204
1695804854628373200,19.031373291015626,-9.03259747210443,-3.291957140088081,-1.9353515383608637
1695804854638373000,19.041373046875,-8.987603899645805,-3.391856022688746,-1.971971688619256
1695804854648372200,19.051372314453126,-8.939095012542605,-3.4911396960005163,-2.0186394779004155
